sn,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,class
5955,586,827,778,1108,1716,1943,1815,2083,1678,1459, sehar
5956,568,850,821,1038,1745,1969,2318,2157,1689,1366, sehar
5957,796,996,1158,1281,1705,1880,2036,1926,1996,1833, sehar
5958,736,965,1004,1281,1705,1880,2002,1926,1996,1833, sehar
5959,676,869,871,1054,1719,1909,2092,2005,1637,1410, sehar
5960,550,801,782,1054,1719,1909,1803,2005,1637,1410, sehar
5961,509,739,723,927,1764,2386,2354,2452,1527,1150, sehar
5962,391,583,476,740,2091,2749,2974,2913,1282,777, sehar
5963,590,786,842,1081,1549,1712,1810,1803,1828,1585, sehar
5964,577,778,758,1033,1907,2230,2458,2326,1582,1232, sehar
5965,620,866,870,1038,1745,1969,2214,2157,1689,1366, sehar
5966,509,739,723,927,1764,2386,2354,2452,1527,1150, sehar
5967,676,869,871,1054,1719,1909,2092,2005,1637,1410, sehar
5968,676,869,871,1054,1719,1909,2092,2005,1637,1410, sehar
5969,509,739,723,927,1764,2386,2354,2452,1527,1150, sehar
5970,736,965,1004,1281,1705,1880,2002,1926,1996,1833, sehar
5971,724,933,977,1228,1823,2082,1920,2157,1956,1632, sehar
5972,509,739,723,927,1764,2386,2354,2452,1527,1150, sehar
5973,613,879,979,1108,1716,1943,2174,2083,1678,1459, sehar
5974,438,702,658,927,1764,2386,2618,2452,1527,1150, sehar
5975,586,827,778,1108,1716,1943,1815,2083,1678,1459, sehar
5976,705,963,1034,1228,1823,2082,2232,2157,1956,1632, sehar
5977,577,829,822,1033,1907,2230,2580,2326,1582,1232, sehar
5978,642,921,863,1033,1907,2230,2228,2326,1582,1232, sehar
5979,794,1070,1182,1351,1738,1944,2062,1993,2092,1886, sehar
5980,639,872,916,1081,1549,1712,1804,1803,1828,1585, sehar
5981,642,921,863,1033,1907,2230,2228,2326,1582,1232, sehar
5982,593,811,832,1038,1745,1969,1820,2157,1689,1366, sehar
5983,683,918,949,1351,1738,1944,1892,1993,2092,1886, sehar
5984,620,866,870,1038,1745,1969,2214,2157,1689,1366, sehar
5985,388,596,520,740,2091,2749,2947,2913,1282,777, sehar
5986,620,866,870,1038,1745,1969,2214,2157,1689,1366, sehar
5987,568,850,821,1038,1745,1969,2318,2157,1689,1366, sehar
5988,639,872,916,1081,1549,1712,1804,1803,1828,1585, sehar
5989,606,793,772,1085,1523,1647,1708,1758,1760,1570, sehar
5990,794,1070,1182,1351,1738,1944,2062,1993,2092,1886, sehar
5991,590,786,842,1081,1549,1712,1810,1803,1828,1585, sehar
5992,881,1098,1256,1351,1738,1944,2103,1993,2092,1886, sehar
5993,550,801,782,1054,1719,1909,1803,2005,1637,1410, sehar
5994,881,1098,1256,1351,1738,1944,2103,1993,2092,1886, sehar
5995,642,921,863,1033,1907,2230,2228,2326,1582,1232, sehar
5996,586,827,778,1108,1716,1943,1815,2083,1678,1459, sehar
5997,434,648,588,779,2019,2653,2825,2798,1334,864, sehar
5998,613,879,979,1108,1716,1943,2174,2083,1678,1459, sehar
5999,581,793,816,1085,1523,1647,1804,1758,1760,1570, sehar
6000,724,933,977,1228,1823,2082,1920,2157,1956,1632, sehar
6001,724,994,1009,1351,1738,1944,1968,1993,2092,1886, sehar
6002,581,793,816,1085,1523,1647,1804,1758,1760,1570, sehar
6003,577,829,822,1033,1907,2230,2580,2326,1582,1232, sehar
6004,881,1098,1256,1351,1738,1944,2103,1993,2092,1886, sehar
6005,669,887,935,1228,1823,2082,2199,2157,1956,1632, sehar
6006,705,963,1034,1228,1823,2082,2232,2157,1956,1632, sehar
6007,593,811,832,1038,1745,1969,1820,2157,1689,1366, sehar
6008,550,801,782,1054,1719,1909,1803,2005,1637,1410, sehar
