sn,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,class
357,773,902,688,1113,2801,3495,3846,3614,1582,866,6422
358,792,915,673,1113,2801,3495,3836,3614,1582,866,6422
359,813,959,750,1134,2801,3558,3642,3610,1501,746,6422
360,766,929,697,1175,2784,3318,3748,3438,1662,953,6422
361,779,908,657,1095,2976,3816,3870,3948,1507,715,6422
362,779,940,664,1095,2976,3816,3894,3948,1507,715,6422
363,780,919,673,1094,3004,3837,3982,3963,1534,752,6422
364,766,902,657,1099,2890,3823,3870,3927,1499,744,6422
365,760,913,661,1095,2976,3816,3826,3948,1507,715,6422
366,813,959,750,1134,2801,3558,3642,3610,1501,746,6422
367,809,908,664,1134,2801,3558,3602,3610,1501,746,6422
368,766,902,657,1099,2890,3823,3870,3927,1499,744,6422
369,834,969,736,1130,2751,3644,3482,3661,1556,792,6422
370,809,908,664,1134,2801,3558,3602,3610,1501,746,6422
371,810,922,652,1102,2950,3830,3894,3940,1525,758,6422
372,794,935,741,1122,2906,3642,3730,3824,1526,754,6422
373,769,902,701,1099,2890,3823,3686,3927,1499,744,6422
374,792,915,673,1113,2801,3495,3836,3614,1582,866,6422
375,809,908,664,1134,2801,3558,3602,3610,1501,746,6422
376,783,897,683,1094,3004,3837,3882,3963,1534,752,6422
377,779,912,660,1134,2801,3558,3698,3610,1501,746,6422
378,788,911,702,1175,2784,3318,3786,3438,1662,953,6422
379,794,935,741,1122,2906,3642,3730,3824,1526,754,6422
380,771,894,682,1122,2906,3642,3740,3824,1526,754,6422
381,818,955,705,1125,2977,3800,3804,3931,1541,796,6422
382,779,940,664,1095,2976,3816,3894,3948,1507,715,6422
383,813,959,750,1134,2801,3558,3642,3610,1501,746,6422
384,783,897,683,1094,3004,3837,3882,3963,1534,752,6422
385,821,930,689,1095,2886,3553,3760,3676,1501,769,6422
386,783,897,683,1094,3004,3837,3882,3963,1534,752,6422
387,766,902,657,1099,2890,3823,3870,3927,1499,744,6422
388,769,901,651,1122,2906,3642,3784,3824,1526,754,6422
389,813,959,750,1134,2801,3558,3642,3610,1501,746,6422
390,810,922,652,1102,2950,3830,3894,3940,1525,758,6422
391,769,902,701,1099,2890,3823,3686,3927,1499,744,6422
392,773,902,688,1113,2801,3495,3846,3614,1582,866,6422
393,821,930,689,1095,2886,3553,3760,3676,1501,769,6422
394,760,913,661,1095,2976,3816,3826,3948,1507,715,6422
395,798,921,669,1099,2890,3823,3870,3927,1499,744,6422
396,792,915,673,1113,2801,3495,3836,3614,1582,866,6422
397,760,913,661,1095,2976,3816,3826,3948,1507,715,6422
398,760,908,654,1095,2976,3816,3816,3948,1507,715,6422
399,834,969,736,1130,2751,3644,3482,3661,1556,792,6422
400,832,993,814,1175,2784,3318,3222,3438,1662,953,6422
401,840,938,698,1118,2893,3683,3758,3804,1493,745,6422
402,847,979,796,1127,2789,3427,3464,3525,1608,852,6422
403,798,921,669,1099,2890,3823,3870,3927,1499,744,6422
404,809,908,664,1134,2801,3558,3602,3610,1501,746,6422
405,810,922,652,1102,2950,3830,3894,3940,1525,758,6422
406,783,915,688,1099,2890,3823,3720,3927,1499,744,6422
407,763,926,660,1134,2801,3558,3802,3610,1501,746,6422
408,813,959,750,1134,2801,3558,3642,3610,1501,746,6422
409,810,922,652,1102,2950,3830,3894,3940,1525,758,6422
410,783,915,688,1099,2890,3823,3720,3927,1499,744,6422
411,779,912,660,1134,2801,3558,3698,3610,1501,746,6422
412,771,894,682,1122,2906,3642,3740,3824,1526,754,6422
413,769,901,651,1122,2906,3642,3784,3824,1526,754,6422
414,794,935,741,1122,2906,3642,3730,3824,1526,754,6422
415,810,925,694,1130,2751,3644,3848,3661,1556,792,6422
